doc_id,doc_type,structure,title,doc_chars,n_chunks,avg_chunk_chars,max_chunk_chars
hana_desc_trust_004,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (AI 중위험),7700,20,412,788
hana_desc_trust_005,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (저위험_포커스),7497,20,402,796
hana_desc_trust_006,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (최고위험_밸런스),7430,20,398,777
hana_desc_trust_007,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (최저위험),7407,19,414,896
hana_desc_trust_008,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (고위험_밸런스),7458,20,400,786
hana_desc_trust_009,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (고위험_포커스),7456,20,400,786
hana_desc_trust_010,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (저위험_밸런스),7463,20,400,796
hana_desc_trust_011,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (중위험_밸런스),7448,20,399,789
hana_desc_trust_012,설명서,clause,하나은행 ISA 모델포트폴리오 설명서 (중위험_포커스),7447,20,399,789
hana_desc_trust_013,설명서,article,일임형 개인종합자산관리계좌(ISA) 계약권유문서,16902,47,370,787
hana_terms_deposit_001,약관,article,입출금이 자유로운 예금약관,4415,16,275,541
hana_terms_deposit_002,약관,article,예금거래 기본약관,10402,33,321,831
hana_terms_digital_banking_001,약관,article,전자금융거래 기본약관,15083,47,323,747
hana_terms_digital_banking_002,약관,article,마이데이터서비스 이용약관,7692,22,348,755
hana_terms_loan_001,약관,numbered,추가약정서,3135,9,383,501
hana_terms_loan_002,약관,numbered,추가약정서(가계대출 금리감면용),4588,11,438,809
hana_terms_loan_003,약관,flat,추가약정서,919,3,359,497
hana_terms_loan_004,약관,flat,추가약정서,592,1,592,592
hana_terms_loan_005,약관,article,추가약정서,1151,6,191,276
hana_terms_loan_006,약관,flat,추가약정서,948,3,369,489
hana_terms_loan_007,약관,article,대출거래( )추가약정서,21667,82,265,841
hana_terms_loan_008,약관,article,대출거래추가약정서,1316,6,218,518
hana_terms_loan_009,약관,article,대출거래추가약정서,1403,5,279,706
hana_terms_loan_010,약관,flat,대출거래 추가약정서,121,1,121,121
hana_terms_loan_011,약관,article,대출거래약정서(가계용),26131,94,282,786
hana_terms_loan_012,약관,article,대출거래약정서 담 당 책 임 자 관 리 자 부 점 장,11144,38,296,845
hana_terms_loan_013,약관,article,대출거래약정서,10240,37,275,736
hana_terms_loan_014,약관,article,대출거래약정서,7395,27,273,892
hana_terms_loan_015,약관,article,대출거래약정서 (주택담보노후연금대출용),8877,32,276,832
hana_terms_loan_016,약관,article,대출거래약정서,12089,43,297,847
hana_terms_loan_017,약관,article,은행여신거래 기본약관,12283,44,278,865
hana_terms_loan_018,약관,article,은행여신거래 기본약관,15567,50,310,892
hana_terms_loan_019,약관,article,주택도시기금 내집마련 디딤돌 대출거래약정서,10468,33,318,844
hana_terms_loan_020,약관,article,여신거래추가약정서,4187,14,309,745
hana_terms_loan_021,약관,numbered,여신거래추가약정서,710,2,354,485
hana_terms_loan_022,약관,article,여신거래 추가약정서,1605,5,320,663
hana_terms_loan_023,약관,article,여신거래약정서(단기금융용),8918,25,361,827
hana_terms_loan_024,약관,article,여신거래약정서(기업용),11471,39,303,721
hana_faq_001,FAQ,qa_pair,주택청약종합저축으로의 전환 후 순위 기산일 및 납입인정금액 확인은 어디서,141,1,141,141
hana_faq_002,FAQ,qa_pair,청약 예부금/청약저축의 주택청약종합저축으로의 전환 가입은 어떻게 해야 하,268,1,268,268
hana_faq_003,FAQ,qa_pair,퇴직연금 가입확인서는 어디서 출력할 수 있나요?,136,1,136,136
hana_faq_004,FAQ,qa_pair,Household(가족손님) 제도란 무엇인가요?,426,1,426,426
hana_faq_005,FAQ,qa_pair,주거래 손님에게는 어떠한 혜택이 있나요?,440,1,440,440
hana_faq_006,FAQ,qa_pair,「금융거래한도계좌」란 무엇인가요?,1560,5,395,494
hana_faq_007,FAQ,qa_pair,「금융거래한도계좌」는 어떻게 해제 하나요?,710,3,310,485
hana_faq_008,FAQ,qa_pair,"미성년자 명의의 예금(요구불/예·적금, 청약) 해지 시 또는 제신고는 어",325,1,325,325
hana_faq_009,FAQ,qa_pair,영유아 대상 추천상품 알려주세요,156,1,156,156
hana_faq_010,FAQ,qa_pair,급여통장 추천상품 알려주세요,87,1,87,87
hana_faq_011,FAQ,qa_pair,직장인 대상 추천상품 알려주세요,156,1,156,156
hana_faq_012,FAQ,qa_pair,대학생 추천상품 알려주세요,165,1,165,165
hana_faq_013,FAQ,qa_pair,바보의 나눔 적금 기부증명서 발급받고 싶어요,148,1,148,148
hana_faq_014,FAQ,qa_pair,바보의 나눔 통장 장기기증희망등록에 대해 알려주세요,102,1,102,102
hana_faq_015,FAQ,qa_pair,압류방지통장에 대해 알려주세요,1001,3,348,500
hana_faq_016,FAQ,qa_pair,미성년자가 현금IC카드를 발급할 수 있나요?,378,1,378,378
hana_faq_017,FAQ,qa_pair,외화통장도 전자통장으로 등록할 수 있나요?,84,1,84,84
hana_faq_018,FAQ,qa_pair,주택청약종합저축에 입금한 후 납입 회차수 변경이 가능한가요?,46,1,46,46
hana_faq_019,FAQ,qa_pair,개인연금신탁과 연금신탁의 소득공제 대상금액은 어떻게 되나요?,191,1,191,191
hana_faq_020,FAQ,qa_pair,청약 계좌에 입금을 하려면 당행 창구에 방문해야만 하나요?,94,1,94,94
hana_faq_021,FAQ,qa_pair,청약 관련 상품을 인터넷으로 가입할 수 있나요?,128,1,128,128
hana_faq_022,FAQ,qa_pair,개인연금신탁 해지하면 창구에서 바로 지급이 되나요?,150,1,150,150
hana_faq_023,FAQ,qa_pair,주택청약종합저축 소득공제 요건이 어떻게 되나요?,313,1,313,313
hana_faq_024,FAQ,qa_pair,노란우산 공제가 무엇인가요?,192,1,192,192
hana_faq_025,FAQ,qa_pair,청약저축의 소득공제에 대해 알려주세요,313,1,313,313
hana_faq_026,FAQ,qa_pair,e-플러스공동구매적금이란 무엇인가요?,103,1,103,103
hana_faq_027,FAQ,qa_pair,손님 등급(하나금융그룹 우대서비스)은 어떻게 산정하나요?,274,1,274,274
hana_faq_028,FAQ,qa_pair,e-플러스 공동구매 정기예금이란 무엇인가요?,105,1,105,105
hana_faq_029,FAQ,qa_pair,"통장인감을 분실(or 변경)하여, 재발급받으려는데 재발급절차와 수수료를 ",385,1,385,385
hana_faq_030,FAQ,qa_pair,거래에 대해 본인만 알도록 하는 방법이 있나요?(SAFE ACCOUNT),323,1,323,323
hana_faq_031,FAQ,qa_pair,세금우대 한도는 얼마인가요?,57,1,57,57
hana_faq_032,FAQ,qa_pair,전자통장(Hana Magic 카드)으로 자동화기기에서 어떻게 입출금을 하,391,1,391,391
hana_faq_033,FAQ,qa_pair,분할상환대출의 분할기일전 중도상환시 회차상환과 금액상환 간 어떤 차이가 ,662,1,662,662
hana_faq_034,FAQ,qa_pair,대출 원금이나 이자를 상환해야 하는 날짜가 은행 영업일이 아닌 경우 상환,162,1,162,162
hana_faq_035,FAQ,qa_pair,대출이자 계산할 때 자주 나오는 '한편넣기'란 용어가 무슨 뜻인가요?,252,1,252,252
hana_faq_036,FAQ,qa_pair,대출계약 철회권에 대해 알려주세요.,748,2,427,481
hana_faq_037,FAQ,qa_pair,이자계산 방법은 어떻게 되나요?,510,1,510,510
hana_faq_038,FAQ,qa_pair,금리인하 요구제도에 대해 알려주세요.,821,2,409,500
hana_faq_039,FAQ,qa_pair,대출 부대비용은 어떻게 되나요?,471,1,471,471
hana_faq_040,FAQ,qa_pair,대출 신청준비서류는 어떤게 있나요?,979,2,485,500
hana_faq_041,FAQ,qa_pair,영업점 창구에서 신청시 이용절차가 어떻게 되나요?,306,1,306,306
hana_faq_042,FAQ,qa_pair,인터넷으로 대출 신청시 이용절차가 어떻게 되나요?,254,1,254,254
hana_faq_043,FAQ,qa_pair,학자금대출을 은행에서 받을 수 있나요?,114,1,114,114
hana_faq_044,FAQ,qa_pair,거치기간이란 무엇인가요?,99,1,99,99
hana_faq_045,FAQ,qa_pair,아낌 e-보금자리론이 무엇인가요?,207,1,207,207
hana_faq_046,FAQ,qa_pair,제2금융권에서 고금리로 신용대출 이용중인데 하나은행에 저금리로 대환해서 ,501,1,501,501
hana_faq_047,FAQ,qa_pair,대출 이자 및 원리금 납입 자동이체 처리시간이 어떻게 되나요?,124,1,124,124
hana_faq_048,FAQ,qa_pair,하나은행 거래실적을 통한 대출금리 우대 시 반드시 대출 원(리)금 자동이,176,1,176,176
hana_faq_049,FAQ,qa_pair,대학생 청년 햇살론은 어떤 상품인가요?,439,1,439,439
hana_faq_050,FAQ,qa_pair,미등기아파트인 경우 전세자금 대출 신청이 가능한가요?,319,1,319,319
hana_faq_051,FAQ,qa_pair,원리금대출을 이용중인데 상환스케쥴을 미리 조회할 수 있나요?,193,1,193,193
hana_faq_052,FAQ,qa_pair,우량주택전세론 신청시 무소득자의 경우 배우자의 소득을 합산하여 소득증빙이,143,1,143,143
hana_faq_053,FAQ,qa_pair,전세자금대출로 소득공제가 가능한가요?,350,1,350,350
hana_faq_054,FAQ,qa_pair,ARS로 대출관련 조회가 가능한가요?,191,1,191,191
hana_faq_055,FAQ,qa_pair,인터넷으로 예금담보대출 신청가능한 시간은 언제인가요?,58,1,58,58
hana_faq_056,FAQ,qa_pair,새희망홀씨 대출 대상자요건 중 연소득 산정 시 성과금이나 수당은 제외되나,134,1,134,134
hana_faq_057,FAQ,qa_pair,마이너스통장 대출의 이자 출금이 어떤 방식으로 출금되는지 알고싶습니다.,322,1,322,322
hana_faq_058,FAQ,qa_pair,U-보금자리론이 무엇인가요?,51,1,51,51
hana_faq_059,FAQ,qa_pair,인터넷으로 아파트담보대출을 받을 수 있나요?,262,1,262,262
hana_faq_060,FAQ,qa_pair,마이너스 모기지론도 소득공제 가능한가요?,126,1,126,126
hana_faq_061,FAQ,qa_pair,전자금융 예금담보대출이 무엇인가요?,373,1,373,373
hana_faq_062,FAQ,qa_pair,인터넷 상에서 신청한 대출이 부결로 나왔습니다. 이유가 무엇인가요?,137,1,137,137
hana_faq_063,FAQ,qa_pair,"인터넷대출 신청시 신용정보조회를 했는데, 이 내용을 삭제하고 싶습니다.",305,1,305,305
hana_faq_064,FAQ,qa_pair,전세금을 담보로 대출을 받을 수 있나요 ?,261,1,261,261
hana_faq_065,FAQ,qa_pair,금융인증서의 갱신발급(기한연장)은 언제하면 됩니까?,286,1,286,286
hana_faq_066,FAQ,qa_pair,여권조합번호를 실명번호로 사용하고 있습니다. 인증서를 발급받을 수 있나요,286,1,286,286
hana_faq_067,FAQ,qa_pair,금융인증서 비밀번호를 분실한 경우 어떻게 해야하나요?,143,1,143,143
hana_faq_068,FAQ,qa_pair,해외에서도 금융인증서를 이용할 수 있나요?,195,1,195,195
hana_faq_069,FAQ,qa_pair,금융인증서를 발급 받으면 기존에 이용하던 공동인증서(구. 공인인증서)는 ,117,1,117,117
hana_faq_070,FAQ,qa_pair,"금융인증서 이용중입니다. 휴대전화번호를 바꾸었는데, 기존 클라우드에 저장",398,1,398,398
hana_faq_071,FAQ,qa_pair,"금융인증서 이용중입니다. 휴대전화 번호는 바꾸지 않고, 휴대전화 기기만 ",226,1,226,226
hana_faq_072,FAQ,qa_pair,금융인증서를 공공기관에서도 이용이 가능한가요?,169,1,169,169
hana_faq_073,FAQ,qa_pair,하나원큐와 PC에서 금융인증서를 이용하고 싶습니다. 인증서 복사를 해야하,230,1,230,230
hana_faq_074,FAQ,qa_pair,이미 타행에서 금융인증서를 발급받았습니다. 추가 발급을 해야 하나요?,257,1,257,257
hana_faq_075,FAQ,qa_pair,금융인증서의 발급은 어떻게 하나요?,231,1,231,231
hana_faq_076,FAQ,qa_pair,금융인증서가 무엇인가요?,293,1,293,293
hana_faq_077,FAQ,qa_pair,여권조합번호로 거래하는 사람은 범용 인증서 발급이 가능한가요?,287,1,287,287
hana_faq_078,FAQ,qa_pair,조합번호 전용 공동인증서가 무엇인가요?,585,1,585,585
hana_faq_079,FAQ,qa_pair,[브라우저인증서] 발급 후 스마트폰으로 복사 방법은 어떻게 되나요?,206,1,206,206
hana_faq_080,FAQ,qa_pair,[브라우저인증서] 하나원큐에서 사용 가능한 인증서인가요?,131,1,131,131
hana_faq_081,FAQ,qa_pair,[브라우저인증서] 브라우저 인증서가 일반 인증서처럼 공동인증서(구.공인인,193,1,193,193
hana_faq_082,FAQ,qa_pair,"[브라우저인증서] ""웹브라우저 내에 저장되므로 다른 브라우저와 연동되지않",262,1,262,262
hana_faq_083,FAQ,qa_pair,[브라우저인증서] 모바일웹으로 복사하면 하나은행 모바일웹에는 이체가 안되,163,1,163,163
hana_faq_084,FAQ,qa_pair,[브라우저인증서] 클라우드 서비스가 뭔가요?,235,1,235,235
hana_faq_085,FAQ,qa_pair,[브라우저인증서] ie에서 받고 복사하지않고 chrome에서 받으면 인증,178,1,178,178
hana_faq_086,FAQ,qa_pair,[브라우저인증서] 인터넷뱅킹 보안프로그램 장애조치 시 검색 기록 등을 삭,254,1,254,254
hana_faq_087,FAQ,qa_pair,영업점에서 해외송금한 내용도 기업뱅킹의 송금내역조회에서 확인가능한가요?,87,1,87,87
hana_faq_088,FAQ,qa_pair,개인사업자인데 기업뱅킹을 사용 시 개인명의 계좌를 보이지 않게 등록이 가,150,1,150,150
hana_faq_089,FAQ,qa_pair,인터넷뱅킹/하나원큐에서 특정계좌만 조회 되지 않도록 등록할 수 있나요?,290,1,290,290
hana_faq_090,FAQ,qa_pair,인터넷 뱅킹에서 특정 거래내역을 삭제할 수 있나요?,143,1,143,143
hana_faq_091,FAQ,qa_pair,인터넷뱅킹에서 세금우대 한도를 변경할 수 있나요?,198,1,198,198
hana_faq_092,FAQ,qa_pair,계좌 비밀번호 변경하려면 꼭 영업점으로 방문해야 하나요?,338,1,338,338
hana_faq_093,FAQ,qa_pair,이체거래 확인증을 출력할 수 있나요?,111,1,111,111
hana_faq_094,FAQ,qa_pair,하나은행 인터넷뱅킹을 통해 하나카드 관련 내역을 조회할 수 있나요?,209,1,209,209
hana_faq_095,FAQ,qa_pair,해외 IP 차단서비스와 신청방법을 알려주세요.,299,1,299,299
hana_faq_096,FAQ,qa_pair,인터넷뱅킹에서 통장사본 출력이 가능한가요?,99,1,99,99
hana_faq_097,FAQ,qa_pair,미성년자인 자녀의 인터넷뱅킹을 부모가 대리로 가입할 수 있나요?,466,1,466,466
hana_faq_098,FAQ,qa_pair,인터넷뱅킹상에서 통장 미정리내역 삭제가 가능한가요?,109,1,109,109
hana_faq_099,FAQ,qa_pair,보안 프로그램 관련 오류가 발생하여 인터넷뱅킹이 이용이 안될 경우 처리방,342,1,342,342
hana_faq_100,FAQ,qa_pair,전자금융을 통한 이체시 한도는 얼마인가요?,701,2,405,494
hana_faq_101,FAQ,qa_pair,인터넷뱅킹 이체한도를 확인하는 방법과 이체한도를 변경하는 방법을 알려주세,334,1,334,334
hana_faq_102,FAQ,qa_pair,인터넷을 통해 통장담보대출을 받으려면 어떻게 해야하나요?,386,1,386,386
hana_faq_103,FAQ,qa_pair,출금계좌 (추가)지정 및 해지는 어디에서 하나요?,319,1,319,319
hana_faq_104,FAQ,qa_pair,인터넷뱅킹/하나원큐 사용자인데 '이체성 거래 정지' 가 되었습니다. 어떻,443,1,443,443
hana_faq_105,FAQ,qa_pair,해외에서 인터넷뱅킹 사용이 가능한가요?,575,1,575,575
hana_faq_106,FAQ,qa_pair,폰뱅킹 가입자는 직접 인터넷 뱅킹에 가입할 수 있나요?,154,1,154,154
hana_faq_107,FAQ,qa_pair,모바일뱅킹으로 해외송금이 가능한가요?,145,1,145,145
hana_faq_108,FAQ,qa_pair,인터넷을 통한 해외송금은 어떻게 하나요 ?,523,1,523,523
hana_faq_109,FAQ,qa_pair,위안화로도 외화정기예금 가입이 가능한가요?,273,1,273,273
hana_faq_110,FAQ,qa_pair,외화보통예금통장도 자동화기기에서 통장정리가 가능한가요?,46,1,46,46
hana_faq_111,FAQ,qa_pair,보유 외화를 인터넷을 통해 팔 수 있나요?,94,1,94,94
hana_faq_112,FAQ,qa_pair,중국에 위안화로 송금이 가능한가요?,281,1,281,281
hana_faq_113,FAQ,qa_pair,외화보통예금통장도 거래내역 문자통지서비스 신청이 가능한가요?,224,1,224,224
hana_faq_114,FAQ,qa_pair,하나의 계좌에 여러 통화를 동시에 거래할 수 있는 상품이 있나요?,270,1,270,270
hana_faq_115,FAQ,qa_pair,인터넷 뱅킹으로 해외송금이 가능한가요?,263,1,263,263
hana_faq_116,FAQ,qa_pair,"외화환전시 해외여행자 보험이 가입 가능하다고 하는데요, 보험가입이 가능한",230,1,230,230
hana_faq_117,FAQ,qa_pair,외국인도 인터넷뱅킹을 통해 해외송금 할 수 있나요?,297,1,297,297
hana_faq_118,FAQ,qa_pair,'거주자(외국인 제외)의 무증빙 해외송금'이 무엇인가요?,358,1,358,358
hana_faq_119,FAQ,qa_pair,외화정기예금을 인터넷으로 가입할 수 있나요?,180,1,180,180
hana_faq_120,FAQ,qa_pair,해외에서 송금을 받으려고 합니다. 송금인에게 어떤 정보를 알려줘야 하나요,438,1,438,438
hana_faq_121,FAQ,qa_pair,외화보통예금통장에 외화현찰로 입금 하려 합니다. 이때 입출금 수수료가 있,382,1,382,382
hana_faq_122,FAQ,qa_pair,외화정기예금도 예금자 보호법에 의해 보호를 받을 수 있나요?,169,1,169,169
hana_faq_123,FAQ,qa_pair,하나원큐인증이 무엇인가요?,380,1,380,380
hana_faq_124,FAQ,qa_pair,[인기][본인인증] 스마트 간편인증이 안됩니다.,752,2,432,476
hana_faq_125,FAQ,qa_pair,[인기][ARS인증] ARS 인증 전화가 오지 않습니다.,1074,3,383,500
hana_faq_126,FAQ,qa_pair,[인기][단말기지정서비스] 스마트폰을 변경하였더니 단말기지정서비스 초과로,303,1,303,303
hana_faq_127,FAQ,qa_pair,[인기][OTP] 모바일 OTP는 무엇이고 어떻게 이용하는 건가요?,410,1,410,410
hana_faq_128,FAQ,qa_pair,[보안매체] 보안매체에 따라 이체한도가 다른가요?,299,1,299,299
hana_faq_129,FAQ,qa_pair,[보안매체] 전자금융 사용자입니다. 보안매체를 모바일 OTP로 변경하고 ,195,1,195,195
hana_faq_130,FAQ,qa_pair,[모바일 OTP] 모바일 OTP 이용이 안됩니다.,175,1,175,175
hana_faq_131,FAQ,qa_pair,[모바일 OTP] 모바일 OTP를 신청했는데 이용이 안됩니다. 활성화하려,269,1,269,269
hana_faq_132,FAQ,qa_pair,[모바일 OTP] 인터넷뱅킹에서 모바일 OTP를 어떻게 사용해야 하나요?,383,1,383,383
hana_faq_133,FAQ,qa_pair,[OTP] OTP가 무엇인가요?,534,1,534,534
hana_faq_134,FAQ,qa_pair,[OTP] OTP를 분실했어요. 어떻게 재발급을 받나요?,394,1,394,394
hana_faq_135,FAQ,qa_pair,"[OTP] OTP는 기존에 사용하던 보안카드(자물쇠카드, (구)외환 안전",191,1,191,191
hana_faq_136,FAQ,qa_pair,[OTP] OTP 오류 횟수를 초과했다고 나오네요. 어떻게 해야 하나요?,298,1,298,298
hana_faq_137,FAQ,qa_pair,[OTP] OTP 불량으로 사용이 안돼요. 어떻게 재발급 받나요?,360,1,360,360
hana_faq_138,FAQ,qa_pair,[OTP] OTP를 이용하는데 '보정거래 필요' 또는 '인증실패' 오류가,854,3,373,481
hana_faq_139,FAQ,qa_pair,내 아이 통장만들기 서비스가 무엇인가요?,358,1,358,358
hana_faq_140,FAQ,qa_pair,전자금융 가입 시 ID/PW 입력을 안해도 되나요? 추후 등록하고 싶을땐,242,1,242,242
hana_faq_141,FAQ,qa_pair,"하나원큐인증 로그인을 하려고 하는데, 앱 알림(Push)이 오지 않습니다",194,1,194,194
hana_faq_142,FAQ,qa_pair,하나원큐인증 로그인이 무엇인가요?,265,1,265,265
hana_faq_143,FAQ,qa_pair,[인기][로그인] 이용자 비밀번호 오류 입력 횟수가 초과 했습니다.,930,3,392,421
hana_faq_144,FAQ,qa_pair,[인기][로그인] 로그인 비밀번호를 입력하고 나면 흰 화면이 뜨거나 오류,383,1,383,383
hana_faq_145,FAQ,qa_pair,[인기][비대면][신분증확인] 비대면 실명 인증할 때 신분증 인식이 안됩,259,1,259,259
hana_faq_146,FAQ,qa_pair,[로그인] 아이디 변경이 가능한가요?,400,1,400,400
hana_faq_147,FAQ,qa_pair,[로그인] 이용자 비밀번호(ID/PW의 PW)를 잊어버렸어요.,687,1,687,687
hana_faq_148,FAQ,qa_pair,[로그인] 이용자 ID(아이디)를 잊어버렸어요. 어떻게 찾나요?,631,1,631,631
hana_faq_149,FAQ,qa_pair,[로그인] 이용자 비밀번호 변경하는 방법은 무엇인가요?,327,1,327,327
hana_faq_150,FAQ,qa_pair,[로그인] 전자금융 이용자 비밀번호를 등록하려고 합니다.,346,1,346,346
hana_faq_151,FAQ,qa_pair,[간편로그인] 간편인증이 무엇이고 어떻게 이용하나요?,590,1,590,590
hana_faq_152,FAQ,qa_pair,[간편로그인] 지문인증이 무엇이고 어떻게 이용하나요?,561,1,561,561
hana_faq_153,FAQ,qa_pair,[간편로그인] 패턴인증이 무엇이고 어떻게 이용하나요?,308,1,308,308
