query_id,question,expected,refusal_type,score_top1,gap_1_2,gap_1_5,std_top5,blank_ratio,doc_concentration,top1_doc,top1_chunk
c010,하나은행 대출이자 계산 시 '한편넣기'란 무엇을 의미하나요?,answer,answerable,1.0,0.7979,0.8509,0.3335,0.2,5,대출이자 계산할 때 자주 나오는 '한편넣기'란 용어가 무슨 뜻인가요?,hana_faq_035_c001
c011,은행이 돈을 다 갚으라고 통보를 늦게 하면 저는 언제부터 바로 갚아야 하나요?,answer,answerable,0.6738,0.0084,0.104,0.0454,0.0,3,대출거래약정서(가계용) - 하나은행,hana_terms_loan_011_c069
c012,하나은행 환전지갑 선물하기 서비스에서 하나머니 환급 절차는 어떻게 이루어지나요?,answer,answerable,1.0,0.1764,0.3313,0.125,0.0,2,『환전지갑 선물하기 서비스』 설명서,hana_desc_fx_007_c006
c013,기업용 대출 연체했을 때 은행이 받는 지연이자는 어떻게 계산돼요?,answer,answerable,0.9862,0.0,0.1549,0.0605,0.0,1,(은행보관용) 대출 상품설명서(권유용),hana_desc_loan_003_c042
c014,Enhanced Forward라는 상품은 만기 환율이 예상과 다르게 떨어지면 어떤 위험이 있나요?,answer,answerable,0.9591,0.0488,0.1382,0.0497,0.0,2,장외파생상품설명서 - Enhanced Forward – 고객이 조건부로 ,hana_desc_derivatives_009_c010
c015,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 운용방법 변경 시 가입자가 선택할 수 있는 조치는 무엇인가요?,answer,answerable,1.0,0.0,0.2081,0.0885,0.0,2,『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 상품설명서,hana_desc_retirement_pension_005_c008
c016,OTP 이용 중 '보정거래 필요' 오류가 발생하면 어떻게 해야 하나요?,answer,answerable,1.0,0.0419,0.6592,0.2722,0.0,3,[OTP] OTP를 이용하는데 '보정거래 필요' 또는 '인증실패' 오류가,hana_faq_138_c001
c017,자유저축예금 이자는 언제 받을 수 있나요?,answer,answerable,1.0,0.1534,0.3307,0.1222,0.0,1,"입출금이 자유로운 예금약관 - 2. 저축예금 : 매년 3월, 6월, 9월",hana_terms_deposit_001_c002
c018,종합부동산세는 하나은행 자료에 따르면 국세인가 지방세인가요?,answer,answerable,1.0,0.8542,0.8865,0.3511,0.0,5,"종합부동산세가 지방세인가요, 국세인가요?",hana_faq_193_c001
c019,하나은행 예금 거래는 보통 어디에서 하나요?,answer,answerable,0.693,0.193,0.2895,0.11,0.0,5,예금거래 기본약관,hana_terms_deposit_002_c001
c020,ISA 계약을 중간에 해지할 때 어떤 특별한 사유가 있어야 해지할 수 있나요?,answer,answerable,0.7559,0.0897,0.2919,0.1125,0.0,3,일임형 개인종합자산관리계좌(ISA) 계약권유문서,hana_desc_trust_013_c036
