question,extracted_product,granularity,intent,needs_specific,general_ok,confidence,match_status,matched_product,candidates,gate_refuse,gate_reason,error,source,expected,refusal_type
OTP 이용 중 '보정거래 필요' 오류가 발생하면 어떻게 해야 하나요?,OTP,product_family,procedure,False,True,0.9,unmatched,,,False,,,refusal_eval.csv,answer,answerable
자유저축예금 이자는 언제 받을 수 있나요?,자유저축예금,specific_product,rate_current,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval.csv,answer,answerable
종합부동산세는 하나은행 자료에 따르면 국세인가 지방세인가요?,,none,definition,False,True,0.9,none,,,False,,,refusal_eval.csv,answer,answerable
하나은행 예금 거래는 보통 어디에서 하나요?,,none,procedure,False,True,0.9,none,,,False,,,refusal_eval.csv,answer,answerable
ISA 계약을 중간에 해지할 때 어떤 특별한 사유가 있어야 해지할 수 있나요?,ISA,product_family,early_termination,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval.csv,answer,answerable
제 연체 기록이 대출 연체 이자에 어떻게 영향을 미치나요?,,none,general_policy,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,personalized
현재 기준금리는 얼마인가요?,,none,rate_current,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,time_variant
오늘 만기일 적용 결제환율은 얼마인가요?,,none,rate_current,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,time_variant
제가 대출받은 후 직업이 바뀌면 대출금 지급이 조기만료되나요?,,none,early_termination,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,personalized
인지세는 대출금액별로 얼마인가요?,,none,fee,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
이 상품은 우리 은행 내부 심사 기준에 어떻게 반영되나요?,,none,general_policy,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
인지세는 대출금액별로 각각 몇 원인가요?,,none,fee,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
하나은행과 타 은행의 해외송금 한도 차이는?,해외송금,product_family,limit,True,False,0.9,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,refuse,out_of_scope
특례금리 적용 기간 중 가산 금리는 몇 퍼센트인가요?,,none,rate_current,True,False,0.7,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
이번 주 CD수익률은 어떻게 되나요?,CD,product_family,rate_current,True,False,0.9,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,refuse,time_variant
간편인증 등록 시 신분증 확인 절차가 있나요?,,none,procedure,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
기타비용 항목과 금액은 어떻게 되나요?,,none,fee,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
제 거래 중도해지 시 손실 예상 금액은?,,none,early_termination,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,personalized
원리금 납입일 변경 후 첫 납입기일은 언제인가요?,,none,procedure,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
Enhanced Forward 계약 시 적용되는 금리 변동폭은 얼마인가요?,Enhanced Forward 계약,specific_product,rate_current,True,False,0.9,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,refuse,blank_value
타 은행의 디폴트옵션 포트폴리오와 비교하면 이 상품의 장점은 무엇인가요?,이 상품,none,general_policy,True,False,0.8,unmatched,,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
현재 적용되는 대출 금리는 얼마인가요?,,none,rate_current,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,time_variant
연체가산율은 몇 퍼센트로 정해지나요?,,none,rate_current,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
조기상환해약금율은 몇 퍼센트인가요?,,none,early_termination,True,False,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
제 개인 신용등급으로 이 상품을 이용해도 위험이 큰가요?,이 상품,none,eligibility,False,False,0.6,unmatched,,,False,,,refusal_eval_draft.csv,refuse,personalized
타 은행 전세자금대출과 비교해 금리 차이는?,전세자금대출,product_family,rate_current,True,False,0.9,covered,전세자금대출,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
이 상품은 다른 은행의 신용대출 상품과 비교해 어떤 점이 우수한가요?,신용대출,product_family,general_policy,True,False,0.9,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,refuse,out_of_scope
제 신용등급과 거래내역을 고려한 CD 수익률은 얼마인가요?,CD,product_family,rate_current,True,False,0.9,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,refuse,personalized
다른 은행들의 CD수익률 산출 방식과 비교해 알려주세요.,CD수익률,product_family,rate_current,True,False,0.9,covered,CD수익률,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
근저당권 설정 신규 등록세 금액은 얼마인가요?,,none,fee,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
하나은행의 디폴트옵션 상품 심사 기준은 무엇인가요?,디폴트옵션,specific_product,eligibility,True,False,0.9,ambiguous,하나은행 디폴트옵션 안정형 포트폴리오,하나은행 디폴트옵션 안정형 포트폴리오|하나은행 디폴트옵션 안정투자형 포트폴리오 1|하나은행 디폴트옵션 안정투자형 포트폴리오 2|하나은행 디폴트옵션 안정투자형 포트폴리오 3|하나은행 디폴트옵션 적극투자형 포트폴리오 1,True,ambiguous_product,,refusal_eval_draft.csv,refuse,out_of_scope
타 은행의 청년주택청약통장과 금리 차이는?,청년주택청약통장,specific_product,rate_current,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,refuse,out_of_scope
담보권 실행 시 발생하는 비용은 얼마인가요?,,none,fee,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
미성년자 예금 해지 시 신용등급 영향은?,예금,product_family,general_policy,False,True,0.9,unmatched,,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
이 상품의 신용 등급별 대출 심사 기준은 어떻게 되나요?,이 상품,none,eligibility,True,False,0.8,unmatched,,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
제가 고정금리 지급자로서 이 거래에서 받을 수 있는 최대 변동금리 수취액은 얼마인가요?,,none,limit,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,personalized
이 추가약정서에서 적용되는 금리 감면율은 몇 퍼센트인가요?,,none,rate_current,True,False,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
대출거래 추가약정서에서 적용되는 고정금리 비율은 얼마인가요?,대출거래 추가약정서,specific_product,rate_current,True,False,0.9,covered,대출거래( )추가약정서,,False,,,refusal_eval_draft.csv,refuse,blank_value
현재 대출금 이자율은 얼마인가요?,,none,rate_current,True,False,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,time_variant
이용계약 해지 시 신용등급에 미치는 영향은?,,none,general_policy,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,out_of_scope
저는 사전지정운용방법 변경 통지를 받았나요?,,none,procedure,False,True,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,personalized
연체기간 3개월 이하일 때 적용되는 연체이자율은 몇 퍼센트인가요?,,none,rate_current,True,False,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
여신금액은 얼마로 설정되었나요?,,none,limit,True,False,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,blank_value
제 개인 신용등급에 따른 대출 한도는?,,none,limit,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,refuse,personalized
현재 대출 이자율은 얼마인가요?,,none,rate_current,False,False,0.8,none,,,False,,,refusal_eval_draft.csv,refuse,time_variant
기업전자금융 서비스에서 개인사업자가 ERP랑 연결하면 기본수수료가 얼마나 나와?,기업전자금융 서비스,product_family,fee,True,False,0.9,ambiguous,기업전자금융,기업전자금융,True,ambiguous_product,,refusal_eval_draft.csv,answer,answerable
일임형 개인종합자산관리계좌(ISA) 계약 만료 후 수수료는 어떻게 처리됩니까?,일임형 개인종합자산관리계좌(ISA),specific_product,fee,True,False,0.95,ambiguous,일임형 개인종합자산관리계좌,일임형 개인종합자산관리계좌,True,ambiguous_product,,refusal_eval_draft.csv,answer,answerable
폰뱅킹 신청 시 관공서 서류 제출 기준은?,,none,required_docs,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,answer,answerable
마이데이터서비스 약관이 갑자기 바뀌면 은행이 어떻게 알려줘요?,마이데이터서비스,product_family,general_policy,False,True,0.9,ambiguous,하나 합(마이데이터 서비스),하나 합(마이데이터 서비스),False,,,refusal_eval_draft.csv,answer,answerable
일임형 개인종합자산관리계좌(ISA) 가입 시 투자 가능한 위험등급 모델포트폴리오 제시 기준은 무엇인가요?,일임형 개인종합자산관리계좌(ISA),specific_product,eligibility,True,False,0.9,ambiguous,일임형 개인종합자산관리계좌,일임형 개인종합자산관리계좌,True,ambiguous_product,,refusal_eval_draft.csv,answer,answerable
기업대출 자금용도별 구분에는 어떤 항목들이 포함되나요?,기업대출,product_family,definition,True,False,0.9,covered,기업대출,,False,,,refusal_eval_draft.csv,answer,answerable
하나은행 디폴트옵션 안정투자형 포트폴리오 1 상품이 위험등급이 바뀌거나 승인이 취소되면 어떻게 알려주나요?,하나은행 디폴트옵션 안정투자형 포트폴리오 1,specific_product,general_policy,True,False,0.9,covered,하나은행 디폴트옵션 안정투자형 포트폴리오 1,,False,,,refusal_eval_draft.csv,answer,answerable
하나은행 통해 마이데이터 정보 보내달라 할 땐 뭘 알려줘야 해?,,none,procedure,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,answer,answerable
하나은행 ISA 모델포트폴리오(최고위험_밸런스) 상품에서 중도해지 시 과세특례 추징이 발생하는 조건은 무엇인가요?,ISA 모델포트폴리오(최고위험_밸런스),specific_product,early_termination,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,answer,answerable
하나은행 대출이자 계산 시 '한편넣기'란 무엇을 의미하나요?,하나은행 대출,product_family,definition,False,True,0.9,unmatched,,,False,,,refusal_eval_draft.csv,answer,answerable
은행이 돈을 다 갚으라고 통보를 늦게 하면 저는 언제부터 바로 갚아야 하나요?,,none,procedure,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,answer,answerable
하나은행 환전지갑 선물하기 서비스에서 하나머니 환급 절차는 어떻게 이루어지나요?,하나은행 환전지갑 선물하기 서비스,specific_product,procedure,True,False,0.9,ambiguous,환전지갑 선물하기 서비스,환전지갑 선물하기 서비스,True,ambiguous_product,,refusal_eval_draft.csv,answer,answerable
기업용 대출 연체했을 때 은행이 받는 지연이자는 어떻게 계산돼요?,기업용 대출,product_family,general_policy,False,True,0.9,unmatched,,,False,,,refusal_eval_draft.csv,answer,answerable
Enhanced Forward라는 상품은 만기 환율이 예상과 다르게 떨어지면 어떤 위험이 있나요?,Enhanced Forward,specific_product,definition,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,answer,answerable
『하나은행 디폴트옵션 안정투자형 포트폴리오 3』 운용방법 변경 시 가입자가 선택할 수 있는 조치는 무엇인가요?,하나은행 디폴트옵션 안정투자형 포트폴리오 3,specific_product,procedure,True,False,0.95,covered,하나은행 디폴트옵션 안정투자형 포트폴리오 3,,False,,,refusal_eval_draft.csv,answer,answerable
OTP 이용 중 '보정거래 필요' 오류가 발생하면 어떻게 해야 하나요?,OTP,product_family,procedure,False,True,0.9,unmatched,,,False,,,refusal_eval_draft.csv,answer,answerable
자유저축예금 이자는 언제 받을 수 있나요?,자유저축예금,specific_product,rate_current,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,answer,answerable
종합부동산세는 하나은행 자료에 따르면 국세인가 지방세인가요?,,none,definition,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,answer,answerable
하나은행 예금 거래는 보통 어디에서 하나요?,,none,procedure,False,True,0.9,none,,,False,,,refusal_eval_draft.csv,answer,answerable
ISA 계약을 중간에 해지할 때 어떤 특별한 사유가 있어야 해지할 수 있나요?,ISA,product_family,early_termination,True,False,0.95,unmatched,,,True,product_mismatch,,refusal_eval_draft.csv,answer,answerable
14살 미만 애들 현금IC카드 본인이 직접 받을 수 있어?,현금IC카드,product_family,eligibility,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 입출금 예금 이율은 바뀌면 언제부터 적용돼요?,입출금 예금,product_family,rate_current,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 환전지갑에서 외화 찾을 때 신분증 꼭 가져가야 해요? 대리인은 어떻게 되나요?,하나은행 환전지갑,specific_product,required_docs,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
주택청약종합저축 가입하고 청약 1순위 되려면 어느 정도 기간과 납입횟수가 필요한가요?,주택청약종합저축,specific_product,eligibility,True,False,0.95,covered,주택청약종합저축,,False,,,retrieval_eval.csv,,
Range Forward 상품은 만기 환율이 정해진 범위 밖으로 나가면 어떻게 처리되나요?,Range Forward,specific_product,general_policy,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
소득공제 장기펀드를 5년 안에 중간에 해지하면 세금이 얼마나 나와요?,소득공제 장기펀드,specific_product,early_termination,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 디폴트옵션 안정투자형 포트폴리오 1 상품이 위험등급이 바뀌거나 승인이 취소되면 어떻게 알려주나요?,하나은행 디폴트옵션 안정투자형 포트폴리오 1,specific_product,general_policy,True,False,0.9,covered,하나은행 디폴트옵션 안정투자형 포트폴리오 1,,False,,,retrieval_eval.csv,,
휴대폰 번호는 안 바꾸고 기기만 바꿨는데 금융인증서 클라우드 계속 쓸 수 있나요?,금융인증서 클라우드,specific_product,procedure,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 가계 대출받을 때 이자율은 중간에 바꿀 수 있어?,가계 대출,product_family,rate_current,True,False,0.9,covered,가계대출,,False,,,retrieval_eval.csv,,
하나은행 CD 수익률은 누가 어떻게 정하는 거예요?,하나은행 CD,specific_product,definition,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 기업 인터넷뱅킹에서 급여 이체는 언제까지 할 수 있나요?,기업 인터넷뱅킹,product_family,procedure,False,True,0.9,unmatched,,,False,,,retrieval_eval.csv,,
하나은행 디폴트옵션 중립투자형 포트폴리오 1 상품 가입 후 따로 운용 방법 지시 안 하면 어떻게 돼요?,하나은행 디폴트옵션 중립투자형 포트폴리오 1,specific_product,general_policy,True,False,0.9,covered,하나은행 디폴트옵션 중립투자형 포트폴리오 1,,False,,,retrieval_eval.csv,,
하나은행 디폴트옵션 중립투자형 포트폴리오 2는 중간에 해지하면 원금 손실 가능성이 있나요?,하나은행 디폴트옵션 중립투자형 포트폴리오 2,specific_product,early_termination,True,False,0.95,covered,하나은행 디폴트옵션 중립투자형 포트폴리오 2,,False,,,retrieval_eval.csv,,
하나원큐에서 특정 계좌 조회 못하게 하려면 어떻게 해?,하나원큐,product_family,procedure,False,True,0.9,ambiguous,하나원큐기업 환전지갑 서비스 설명서,하나원큐기업 환전지갑 서비스 설명서,False,,,retrieval_eval.csv,,
하나원큐 로그인할 때 기본 로그인 방법을 바꾸려면 어떻게 해야 해요?,하나원큐,product_family,procedure,False,True,0.9,ambiguous,하나원큐기업 환전지갑 서비스 설명서,하나원큐기업 환전지갑 서비스 설명서,False,,,retrieval_eval.csv,,
기업 대출할 때 원화 금리는 어떤 기준으로 정해지나요?,기업 대출,product_family,rate_current,True,False,0.9,covered,기업대출,,False,,,retrieval_eval.csv,,
일임형 개인종합자산관리계좌(ISA) 가입 시 투자 가능한 위험등급 모델포트폴리오 제시 기준은 무엇인가요?,일임형 개인종합자산관리계좌(ISA),specific_product,eligibility,True,False,0.9,ambiguous,일임형 개인종합자산관리계좌,일임형 개인종합자산관리계좌,True,ambiguous_product,,retrieval_eval.csv,,
기업대출 자금용도별 구분에는 어떤 항목들이 포함되나요?,기업대출,product_family,definition,True,False,0.9,covered,기업대출,,False,,,retrieval_eval.csv,,
Enhanced Forward라는 상품은 만기 환율이 예상과 다르게 떨어지면 어떤 위험이 있나요?,Enhanced Forward,specific_product,definition,True,False,0.95,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
이자율 스왑(고객 고정금리 지급) 중도해지는 어떻게 가능한가요?,이자율 스왑(고객 고정금리 지급),specific_product,early_termination,True,False,0.95,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
구 외환은행 프라임등급 계속 유지하려면 어떻게 해야 해요?,구 외환은행 프라임등급,specific_product,eligibility,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 이자율 스왑 상품의 위험등급과 손실범위는 어떻게 되나요?,이자율 스왑 상품,product_family,general_policy,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
청년 주택드림 청약통장 가입할 때 소득 증명서류로는 어떤 게 필요한가요?,청년 주택드림 청약통장,specific_product,required_docs,True,False,0.95,covered,청년 주택드림 청약통장,,False,,,retrieval_eval.csv,,
하나일임형ISA 저위험포커스 모델포트폴리오가 포함한 금융상품은 원금보장이 되나요?,하나일임형ISA 저위험포커스 모델포트폴리오,specific_product,general_policy,True,False,0.95,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행에서 전자금융 거래 내역을 못 받을 때 은행이 어떻게 알려줘야 해?,,none,general_policy,False,True,0.9,none,,,False,,,retrieval_eval.csv,,
해외 출국 전 하나은행 전자금융사기예방서비스 설정은 어떻게 해야 하나요?,하나은행 전자금융사기예방서비스,specific_product,procedure,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 예금 거래는 보통 어디에서 하나요?,,none,procedure,False,True,0.9,none,,,False,,,retrieval_eval.csv,,
종합부동산세는 하나은행 자료에 따르면 국세인가 지방세인가요?,,none,definition,False,True,0.9,none,,,False,,,retrieval_eval.csv,,
대출일과 월 납입일이 다르면 첫 이자는 언제 내야 하나요?,,none,general_policy,False,True,0.9,none,,,False,,,retrieval_eval.csv,,
하나 합 서비스는 몇 살 이상부터 창구에서 바로 신청할 수 있어?,하나 합 서비스,specific_product,eligibility,True,False,0.9,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
하나은행 ISA 모델포트폴리오(최고위험_밸런스) 상품에서 중도해지 시 과세특례 추징이 발생하는 조건은 무엇인가요?,ISA 모델포트폴리오(최고위험_밸런스),specific_product,early_termination,True,False,0.95,unmatched,,,True,product_mismatch,,retrieval_eval.csv,,
골드바 살 때는 가격 계산할 때 수수료랑 세금 어떻게 붙어요?,골드바,product_family,fee,False,True,0.9,unmatched,,,False,,,retrieval_eval.csv,,
